	Phenotype_ID	Description	q	nq	tot	Phenotype_score
1	HP:0008316	Abnormal mitochondria in muscle tissue	30.0	0.1	30	11.3349470414
2	HP:0006965	Acute necrotizing encephalopathy	20.0	0.1	20	10.7499845406
3	HP:0001404	Hepatocellular necrosis	19.0	0.1	19	10.6759839592
4	HP:0000576	Centrocecal scotoma	12.0	0.1	12	10.0130189465
5	HP:0001414	Microvesicular hepatic steatosis	10.0	0.1	10	9.74998454064
6	HP:0007768	Central retinal vessel vascular tortuosity	9.0	0.1	9	9.59798144719
7	HP:0003150	Glutaric aciduria	8.0	0.1	8	9.42805644575
8	HP:0011923	Decreased activity of mitochondrial complex I	6.0	0.1	6	9.01301894647
9	HP:0003219	Ethylmalonic aciduria	6.0	0.1	6	9.01301894647
10	HP:0008344	Elevated plasma branched chain amino acids	5.0	0.1	5	8.74998454064
11	HP:0004897	Stress/infection-induced lactic acidosis	4.0	0.1	4	8.42805644575
12	HP:0003001	Glomus jugular tumor	4.0	0.1	4	8.42805644575
13	HP:0011924	Decreased activity of mitochondrial complex III	4.0	0.1	4	8.42805644575
14	HP:0030074	Chemodectoma	4.0	0.1	4	8.42805644575
15	HP:0008314	Decreased activity of mitochondrial complex II	4.0	0.1	4	8.42805644575
16	HP:0003530	Glutaric acidemia	4.0	0.1	4	8.42805644575
17	HP:0008972	Decreased activity of mitochondrial respiratory chain	33.0	1.0	34	8.15052247022
18	HP:0002928	Decreased activity of the pyruvate dehydrogenase complex	31.0	1.0	32	8.06032466125
19	HP:0003353	Propionyl-CoA carboxylase deficiency	3.0	0.1	3	8.01301894647
20	HP:0002614	Hepatic periportal necrosis	3.0	0.1	3	8.01301894647
21	HP:0006799	Basal ganglia cysts	3.0	0.1	3	8.01301894647
22	HP:0011265	Cleft earlobe	3.0	0.1	3	8.01301894647
23	HP:0100950	Decreased activity of 3-hydroxyacyl-CoA dehydrogenase	3.0	0.1	3	8.01301894647
24	HP:0003647	Electron transfer flavoprotein-ubiquinone oxidoreductase defect	3.0	0.1	3	8.01301894647
25	HP:0008945	Loss of ability to walk in early childhood	3.0	0.1	3	8.01301894647
26	HP:0005152	Histiocytoid cardiomyopathy	3.0	0.1	3	8.01301894647
27	HP:0100247	Recurrent singultus	3.0	0.1	3	8.01301894647
28	HP:0008347	Decreased activity of mitochondrial complex IV	3.0	0.1	3	8.01301894647
29	HP:0001686	Loss of voice	3.0	0.1	3	8.01301894647
30	HP:0003490	Defective dehydrogenation of isovaleryl CoA and butyryl CoA	3.0	0.1	3	8.01301894647
31	HP:0007398	Asymmetric, linear skin defects	3.0	0.1	3	8.01301894647
32	HP:0002034	Abnormality of the rectum	3.0	0.1	3	8.01301894647
33	HP:0002490	Increased CSF lactate	62.0	3.0	65	7.47536216053
34	HP:0003572	Low plasma citrulline	2.0	0.1	2	7.42805644575
35	HP:0012321	D-2-hydroxyglutaric aciduria	2.0	0.1	2	7.42805644575
36	HP:0003643	Sulfite oxidase deficiency	2.0	0.1	2	7.42805644575
37	HP:0003334	Elevated circulating catecholamine level	2.0	0.1	2	7.42805644575
38	HP:0040144	L-2-hydroxyglutaric aciduria	2.0	0.1	2	7.42805644575
39	HP:0003359	Decreased urinary sulfate	2.0	0.1	2	7.42805644575
40	HP:0004900	Severe lactic acidosis	2.0	0.1	2	7.42805644575
41	HP:0012847	Epilepsia partialis continua	2.0	0.1	2	7.42805644575
42	HP:0008281	Acute hyperammonemia	2.0	0.1	2	7.42805644575
43	HP:0025430	High-pitched cry	2.0	0.1	2	7.42805644575
44	HP:0006715	Glomus tympanicum paraganglioma	2.0	0.1	2	7.42805644575
45	HP:0007461	Hemangiomatosis	2.0	0.1	2	7.42805644575
46	HP:0003344	3-Methylglutaric aciduria	2.0	0.1	2	7.42805644575
47	HP:0006555	Diffuse hepatic steatosis	2.0	0.1	2	7.42805644575
48	HP:0004448	Fulminant hepatic failure	2.0	0.1	2	7.42805644575
49	HP:0011942	Increased urinary sulfite	2.0	0.1	2	7.42805644575
50	HP:0002886	Vagal paraganglioma	2.0	0.1	2	7.42805644575
51	HP:0004925	Chronic lactic acidosis	2.0	0.1	2	7.42805644575
52	HP:0002161	Hyperlysinemia	2.0	0.1	2	7.42805644575
53	HP:0007344	Atrophy/Degeneration involving the spinal cord	2.0	0.1	2	7.42805644575
54	HP:0003489	Acute episodes of neuropathic symptoms	2.0	0.1	2	7.42805644575
55	HP:0010663	Abnormality of thalamus morphology	2.0	0.1	2	7.42805644575
56	HP:0002454	Eye of the tiger anomaly of globus pallidus	2.0	0.1	2	7.42805644575
57	HP:0004357	Abnormality of leucine metabolism	2.0	0.1	2	7.42805644575
58	HP:0008315	Decreased plasma free carnitine	2.0	0.1	2	7.42805644575
59	HP:0008358	Hyperprolinemia	2.0	0.1	2	7.42805644575
60	HP:0100653	Optic neuritis	2.0	0.1	2	7.42805644575
61	HP:0004804	Congenital hemolytic anemia	2.0	0.1	2	7.42805644575
62	HP:0007183	Focal T2 hyperintense basal ganglia lesion	28.0	2.0	30	6.91348327292
63	HP:0004309	Ventricular preexcitation	11.0	1.0	12	6.5655599695
64	HP:0006873	Symmetrical progressive peripheral demyelination	1.0	0.1	1	6.42805644575
65	HP:0005384	Defective B cell activation	1.0	0.1	1	6.42805644575
66	HP:0031064	Impaired continence	1.0	0.1	1	6.42805644575
67	HP:0025550	Elevated circulating ribitol concentration	1.0	0.1	1	6.42805644575
68	HP:0410075	Increased level of xylitol in CSF	1.0	0.1	1	6.42805644575
69	HP:0410074	Increased level of xylitol in urine	1.0	0.1	1	6.42805644575
