	Gene_ID	Gene_name	Query	Gene_score
1	5428	POLG	1	305.7951
2	6392	SDHD	1	305.6933
3	6389	SDHA	1	291.82
4	4720	NDUFS2	1	216.9748
5	4535	ND1	1	206.4759
6	4722	NDUFS3	1	197.7002
7	55572	FOXRED1	1	197.7002
8	4724	NDUFS4	1	197.7002
9	91942	NDUFAF2	1	197.7002
10	4540	ND5	1	196.5731
11	4514	COX3	1	195.141
12	4541	ND6	1	195.141
13	4574	TRNS1	0	188.2045
14	56652	TWNK	1	183.101
15	4538	ND4	1	177.1001
16	4723	NDUFV1	1	172.9412
17	79133	NDUFAF5	1	172.9412
18	4729	NDUFV2	1	172.9412
19	4719	NDUFS1	1	172.9412
20	4512	COX1	1	170.7667
21	617	BCS1L	1	169.9942
22	6391	SDHC	1	169.837
23	6390	SDHB	1	166.9198
24	50484	RRM2B	0	158.3998
25	2271	FH	1	152.9227
26	100131801	PET100	1	140.0934
27	51204	TACO1	1	140.0934
28	374291	NDUFS7	1	139.1359
29	4728	NDUFS8	1	139.1359
30	54949	SDHAF2	1	134.9962
31	4558	TRNF	0	133.5459
32	6834	SURF1	1	133.5364
33	4567	TRNL1	0	132.5863
34	1355	COX15	1	131.7696
35	291	SLC25A4	1	129.2782
36	1352	COX10	1	128.9964
37	4695	NDUFA2	1	127.801
38	137682	NDUFAF6	1	127.801
39	55967	NDUFA12	1	127.801
40	4704	NDUFA9	1	127.801
41	4705	NDUFA10	1	127.801
42	4578	TRNW	0	126.9392
43	7084	TK2	1	126.8578
44	4572	TRNQ	0	126.6569
45	23095	KIF1B	1	126.2862
46	5160	PDHA1	1	125.8878
47	4513	COX2	1	125.2247
48	4191	MDH2	1	123.6762
49	4519	CYTB	1	119.0262
50	84334	APOPT1	1	114.0652
51	11232	POLG2	1	113.5911
52	25915	NDUFAF3	1	113.459
53	80224	NUBPL	1	113.459
54	4694	NDUFA1	1	113.459
55	4715	NDUFB9	1	113.459
56	51103	NDUFAF1	1	113.459
57	126328	NDUFA11	1	113.459
58	51300	TIMMDC1	1	113.459
59	4726	NDUFS6	1	113.459
60	55863	TMEM126B	1	113.459
61	4709	NDUFB3	1	113.459
62	29078	NDUFAF4	1	113.459
63	3033	HADH	1	108.3729
64	51601	LIPT1	1	104.6095
65	4564	TRNH	0	103.5624
66	4575	TRNS2	0	101.5358
